"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16670","test_login[edge]","tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","21663","test_login[chrome]","tests","2026-07-22","passed","2026-07-22","","test_login","",""
